Код товара в старой базе;Наименование в старой базе;Код товара в Новой базе;Наименование в новой базе
УП0000592  ;Свинина нежирная к;00000000175;Свинина нежирная п\ф
УП0000611  ;Свинина нежирная п\ф;00000000175;Свинина нежирная п\ф
УП0000593  ;Свинина полужирная к;00000000177;Свинина полужирная п\ф
УП0000613  ;Свинина полужирная п\ф;00000000177;Свинина полужирная п\ф
УП0000591  ;Свинина жирная к;00000000178;Свинина жирная п\ф
УП0000610  ;Свинина жирная п\ф;00000000178;Свинина жирная п\ф
УП0000563  ;Грудинка свиная жилованная б\к, б\ш ;00000000179;Грудинка свиная в/ш б/к п\ф
УП0000564  ;Грудинка свиная в шкуре без кости к;00000000179;Грудинка свиная в/ш б/к п\ф
УП0000612  ;Брюшина свиная б\шкуры к;00000000181;Брюшина свиная б\шкуры
УП0000552  ;Буженина к;00000000182;Буженина из свинины 
УП0000570  ;Жилка свиная к;00000000183;Жилка свиная п\ф
УП0000572  ;Карбонад к;00000000184;Карбонат свиной
УП0000602  ;Карбонад б\к п\ф;00000000184;Карбонат свиной
УП0000574  ;Корейка к;00000000186;Корейка свиная
УП0000576  ;Лопатка к;00000000188;Лопатка свиная
УП0000587  ;Пастрома к;00000000189;Пастрома из свинины
УП0000586  ;Окорочек свиной к;00000000191;Окорочёк свиной
УП0000629  ;Шкурка свиная;00000000195;Шкура свиная п\ф
УП0000600  ;Шпик боковой к;00000000196;Шпик п\ф
УП0000603  ;Шпик хребтовой к;00000000196;Шпик п\ф
УП0000607  ;Щековина в шкуре ;00000000198;Щековина
УП0000595  ;Шейка к;00000000199;Шейка свиная
УП0000614  ;Шейка б\к п\ф;00000000199;Шейка свиная
УП0003443  ;Говядина в/с блочная дефр. к;00000000202;Говядина высший сорт №51-10-02 изготовитель ООО ИМК  п\ф
УП0000560  ;Говядина высший сорт к;00000000202;Говядина высший сорт №51-10-02 изготовитель ООО ИМК  п\ф
УП0000598  ;Говядина высший сорт п\ф;00000000202;Говядина высший сорт №51-10-02 изготовитель ООО ИМК  п\ф
УП0003445  ;Говядина жирная блочная дефр.к;00000000204;Говядина жирная №51-10-02 изготовитель ООО ИМК  п\ф
УП0000562  ;Говядина жирная к;00000000204;Говядина жирная №51-10-02 изготовитель ООО ИМК  п\ф
УП0003444  ;Говядина колб. блочная дефр. к;00000000207;Говядина колбасная № 51-10-02 изготовитель ООО ИМК п\ф
УП0000846  ;Говядина колбасная к;00000000207;Говядина колбасная № 51-10-02 изготовитель ООО ИМК п\ф
УП0000566  ;Жилка говяжья к;00000000208;Жилка говяжья п\ф
СТ0002394  ;Жир топленый свиной в/с;00000000214;Жир-сырец свиной
СТ0002392  ;Жир сырец говяжий ;00000000233;Жир сырец говяжий
УП0001224  ;Плечелопаточный отруб свиной б\шкуры,б\кости зам;00000000256;Плечелопаточный отруб свиной без голяшки бескостный  
УП0000620  ;Лопатка свиная б\шкуры,б\кости;00000000256;Плечелопаточный отруб свиной без голяшки бескостный  
УП0003078  ;КАРБОНАТ СВИНОЙ Б/ШК, Б/К;00000000257;Спинопоясничный отруб свиной б\ш,б\к 
УП0001223  ;Тазобедренный отруб свиной б/шк. б/к заморож.;00000000258;Тазобедренный отруб свиной без голяшки бескостный
УП0003059  ;ОКОРОЧОК СВИНОЙ Б/ШК, Б/К;00000000258;Тазобедренный отруб свиной без голяшки бескостный
УП0003079  ;ШЕЙКА СВИНАЯ Б/ШК, Б/К;00000000259;Шейный отруб свиной б\ш,б\к 
УП0001536  ;Рулька свиная с/к в/шк;00000000265;Передня голяшка на кости
УП0000609  ;Ребра свиные 70\30 п\ф;00000000266;Рёбра свиные 70\30 п/ф свиной мелкокусковой мясокостный 
УП0000589  ;Ребрышки к пиву к;00000000267;Рёбрышки к пиву
СТ0007855  ;Ребрышки к пиву ;00000000267;Рёбрышки к пиву
УП0000588  ;Ребра свиные к;00000000268;Рёбра свиные на копчение
УП0000673  ;Отходы свинина ут.;00000000272;Отходы свинина
УП0000891  ;Кровоподтек св.ут.;00000000277;Кровоподтёк свиной
